Annotation,num,pos_num,pos_rate
"rA:dA,6",17,11,0.647058823529
"rA:dA,7",17,13,0.764705882353
"rA:dA,4",12,7,0.583333333333
"rA:dA,5",12,8,0.666666666667
"rA:dA,2",17,11,0.647058823529
"rA:dA,3",13,7,0.538461538462
"rA:dA,1",14,10,0.714285714286
"rU:dT,2",9,8,0.888888888889
"rU:dT,3",18,11,0.611111111111
"rU:dT,1",23,19,0.826086956522
"rU:dT,6",11,7,0.636363636364
"rU:dT,7",10,6,0.6
"rA:dA,8",22,17,0.772727272727
"rA:dA,9",16,14,0.875
"rC:dT,9",13,8,0.615384615385
"rC:dT,8",7,3,0.428571428571
"rU:dT,9",10,6,0.6
"rC:dT,1",22,16,0.727272727273
"rC:dT,3",11,8,0.727272727273
"rC:dT,2",17,12,0.705882352941
"rC:dT,5",12,8,0.666666666667
"rC:dT,4",7,6,0.857142857143
"rC:dT,7",10,4,0.4
"rC:dT,6",12,9,0.75
"rG:dG,7",13,8,0.615384615385
"rG:dG,6",15,6,0.4
"rG:dG,5",19,9,0.473684210526
"rG:dG,4",10,6,0.6
"rG:dG,3",14,9,0.642857142857
"rG:dG,2",27,19,0.703703703704
"rG:dG,1",29,23,0.793103448276
"rG:dG,9",18,13,0.722222222222
"rG:dG,8",12,6,0.5
"rU:dG,20",4,2,0.5
"rC:dA,20",3,2,0.666666666667
"rU:dT,4",11,7,0.636363636364
"rG:dG,20",1,0,0.0
"rU:dT,5",5,4,0.8
"rG:dA,20",3,0,0.0
"rA:dA,20",10,6,0.6
"rC:dC,19",16,8,0.5
"rC:dC,18",14,10,0.714285714286
"rC:dC,17",5,1,0.2
"rC:dC,15",5,4,0.8
"rC:dC,14",6,4,0.666666666667
"rC:dC,13",11,8,0.727272727273
"rC:dC,12",15,10,0.666666666667
"rC:dC,11",13,9,0.692307692308
"rC:dC,10",16,7,0.4375
"rC:dA,4",14,8,0.571428571429
"rC:dA,5",23,13,0.565217391304
"rC:dA,6",27,19,0.703703703704
"rC:dA,7",14,8,0.571428571429
"rA:dC,5",17,11,0.647058823529
"rC:dA,1",22,15,0.681818181818
"rC:dA,2",19,12,0.631578947368
"rC:dA,3",12,9,0.75
"rC:dA,8",19,12,0.631578947368
"rC:dA,9",17,13,0.764705882353
"rA:dA,10",14,12,0.857142857143
"rA:dA,11",14,12,0.857142857143
"rA:dA,12",12,8,0.666666666667
"rA:dA,13",14,5,0.357142857143
"rA:dA,14",14,7,0.5
"rA:dA,15",11,8,0.727272727273
"rA:dA,16",11,5,0.454545454545
"rA:dA,17",10,7,0.7
"rA:dA,18",12,4,0.333333333333
"rA:dA,19",2,0,0.0
"rA:dG,9",15,8,0.533333333333
"rA:dG,8",18,10,0.555555555556
"rA:dG,1",16,9,0.5625
"rA:dG,3",16,7,0.4375
"rA:dG,2",12,8,0.666666666667
"rA:dG,5",12,8,0.666666666667
"rA:dG,4",19,11,0.578947368421
"rA:dG,7",15,9,0.6
"rA:dG,6",17,13,0.764705882353
"rG:dT,1",30,25,0.833333333333
"rG:dA,6",13,9,0.692307692308
"rG:dT,4",18,13,0.722222222222
"rG:dT,7",16,9,0.5625
"rG:dT,6",16,11,0.6875
"rU:dC,8",13,6,0.461538461538
"rU:dC,9",9,7,0.777777777778
"rC:dA,17",16,11,0.6875
"rU:dC,4",6,4,0.666666666667
"rU:dC,5",4,1,0.25
"rU:dC,6",9,5,0.555555555556
"rU:dC,7",10,7,0.7
"rU:dC,1",22,17,0.772727272727
"rU:dC,2",8,7,0.875
"rU:dC,3",11,8,0.727272727273
"rC:dA,15",5,3,0.6
"rG:dT,3",16,10,0.625
"rG:dG,19",3,1,0.333333333333
"rG:dG,18",2,0,0.0
"rG:dG,17",1,0,0.0
"rG:dG,16",4,1,0.25
"rG:dG,15",2,1,0.5
"rG:dT,2",29,19,0.655172413793
"rG:dG,13",4,2,0.5
"rG:dG,12",10,7,0.7
"rG:dA,2",33,23,0.69696969697
"rG:dG,10",9,4,0.444444444444
"rC:dA,12",24,18,0.75
"rG:dT,9",25,17,0.68
"rG:dT,8",14,9,0.642857142857
"rU:dC,18",11,6,0.545454545455
"rU:dC,19",12,7,0.583333333333
"rG:dT,5",24,15,0.625
"rU:dC,17",6,3,0.5
"rU:dC,14",5,4,0.8
"rU:dC,15",2,1,0.5
"rU:dC,12",7,5,0.714285714286
"rU:dC,13",6,4,0.666666666667
"rU:dC,10",15,11,0.733333333333
"rU:dC,11",10,3,0.3
"rG:dT,15",23,17,0.739130434783
"rC:dA,18",13,9,0.692307692308
"rG:dT,14",9,5,0.555555555556
"rA:dG,19",3,2,0.666666666667
"rA:dG,20",9,5,0.555555555556
"rC:dC,7",13,5,0.384615384615
"rC:dC,6",20,12,0.6
"rC:dC,5",16,12,0.75
"rC:dC,4",14,7,0.5
"rC:dC,3",10,8,0.8
"rC:dC,2",15,11,0.733333333333
"rC:dC,1",19,13,0.684210526316
"rG:dA,4",20,12,0.6
"rC:dA,19",8,5,0.625
"rC:dC,9",12,7,0.583333333333
"rC:dC,8",10,4,0.4
"rU:dG,8",19,14,0.736842105263
"rU:dG,9",18,11,0.611111111111
"rU:dG,1",20,17,0.85
"rU:dG,2",13,8,0.615384615385
"rU:dG,3",16,12,0.75
"rU:dG,4",11,5,0.454545454545
"rU:dG,5",8,5,0.625
"rU:dG,6",16,11,0.6875
"rU:dG,7",17,10,0.588235294118
"rU:dG,12",9,5,0.555555555556
"rU:dG,13",10,6,0.6
"rU:dG,10",19,15,0.789473684211
"rU:dG,11",5,5,1.0
"rU:dG,16",4,2,0.5
"rU:dG,17",7,5,0.714285714286
"rU:dG,14",12,6,0.5
"rU:dG,15",1,1,1.0
"rG:dA,5",21,15,0.714285714286
"rA:dG,15",4,3,0.75
"rU:dG,18",10,5,0.5
"rU:dG,19",8,4,0.5
"rA:dG,14",8,4,0.5
"rC:dA,16",13,6,0.461538461538
"rG:dA,1",29,25,0.862068965517
"rU:dT,8",9,5,0.555555555556
"rG:dA,3",14,10,0.714285714286
"rG:dT,19",8,4,0.5
"rG:dT,18",7,4,0.571428571429
"rC:dA,10",17,9,0.529411764706
"rC:dA,11",20,9,0.45
"rG:dA,8",13,11,0.846153846154
"rG:dA,9",18,13,0.722222222222
"rG:dT,17",5,2,0.4
"rG:dT,16",7,3,0.428571428571
"rG:dT,11",18,11,0.611111111111
"rG:dT,10",12,7,0.583333333333
"rG:dT,13",16,10,0.625
"rG:dT,12",17,10,0.588235294118
"rA:dG,11",15,11,0.733333333333
"rA:dG,10",14,10,0.714285714286
"rG:dG,11",9,4,0.444444444444
"rA:dG,12",12,5,0.416666666667
"rU:dT,18",9,5,0.555555555556
"rU:dT,19",10,6,0.6
"rA:dG,17",8,4,0.5
"rA:dG,16",13,8,0.615384615385
"rU:dT,14",9,4,0.444444444444
"rU:dT,15",3,1,0.333333333333
"rU:dT,17",2,0,0.0
"rU:dT,10",19,13,0.684210526316
"rU:dT,11",7,4,0.571428571429
"rU:dT,12",5,3,0.6
"rU:dT,13",6,2,0.333333333333
"rC:dT,11",9,8,0.888888888889
"rC:dT,10",15,7,0.466666666667
"rC:dT,13",6,3,0.5
"rC:dT,12",8,3,0.375
"rA:dC,19",9,3,0.333333333333
"rA:dC,18",12,5,0.416666666667
"rC:dT,17",4,2,0.5
"rA:dC,15",18,9,0.5
"rA:dC,14",18,14,0.777777777778
"rA:dC,17",18,11,0.611111111111
"rA:dC,16",14,8,0.571428571429
"rA:dC,11",17,13,0.764705882353
"rA:dC,10",16,15,0.9375
"rA:dC,13",17,12,0.705882352941
"rA:dC,12",17,13,0.764705882353
"rG:dA,18",6,3,0.5
"rG:dA,19",6,3,0.5
"rG:dA,7",14,11,0.785714285714
"rC:dA,13",21,14,0.666666666667
"rG:dA,12",12,8,0.666666666667
"rG:dA,13",6,3,0.5
"rG:dA,10",12,7,0.583333333333
"rG:dA,11",12,5,0.416666666667
"rG:dA,16",12,6,0.5
"rG:dA,17",3,2,0.666666666667
"rG:dA,14",1,0,0.0
"rG:dA,15",3,1,0.333333333333
"rA:dG,13",6,4,0.666666666667
"rA:dC,9",11,5,0.454545454545
"rA:dC,8",26,17,0.653846153846
"rC:dC,20",14,5,0.357142857143
"rG:dT,20",14,8,0.571428571429
"rA:dC,4",20,13,0.65
"rA:dC,7",18,12,0.666666666667
"rA:dC,6",19,11,0.578947368421
"rA:dC,1",13,7,0.538461538462
"rA:dC,3",14,9,0.642857142857
"rA:dC,2",16,14,0.875
"rU:dC,20",12,8,0.666666666667
"rC:dT,15",7,3,0.428571428571
"rA:dG,18",10,5,0.5
"rC:dT,14",3,1,0.333333333333
"rU:dT,20",10,5,0.5
"rA:dC,20",17,13,0.764705882353
"rC:dT,20",6,4,0.666666666667
"rC:dT,19",7,2,0.285714285714
"rC:dA,14",4,3,0.75
"rC:dT,18",5,2,0.4
