a,b
0.411764706,1
0.52173913,0.727272727
0.611111111,0.705882353
0.740740741,0.636363636
0.578947368,0.363636364
0.56,0.714285714
0.5,0.4375
0.413793103,0.428571429
0.3,0.6
0.25,0.882352941
0.428571429,0.307692308
0.6,0.333333333
0.791666667,0.3
0.75862069,0.533333333
0.692307692,0.2
0.761904762,0
0.695652174,0.133333333
0.80952381,0.5
1,0.538461538
0.714285714,0.6
0.423076923,1
0.47826087,0.8
0.653846154,0.611111111
0.666666667,0.625
0.518518519,0.72
0.424242424,0.714285714
0.619047619,0.705882353
0.368421053,0.733333333
0.409090909,0.666666667
0.7,0.555555556
0.727272727,0.65
0.4,0.722222222
0.517241379,0.652173913
0.85,0.466666667
0.85,0.65
0.75,0.192307692
0.607142857,0.176470588
0.75,0.4
0.886363636,0.375
0.953488372,0.764705882
0.242424242,0.857142857
0.43902439,0.785714286
0.6875,0.428571429
0.612903226,0.352941176
0.615384615,0.5
0.666666667,0.454545455
0.620689655,0.4375
0.592592593,0.428571429
0.666666667,0.571428571
0.75,0.333333333
0.807692308,0.4
0.733333333,0.263157895
0.911764706,0.210526316
1,0.214285714
0.975,0.272727273
0.863636364,0
0.939393939,0.176470588
0.875,0.19047619
0.888888889,0.206896552
1,0.227272727
0.588235294,1
0.391304348,0.909090909
0.55,0.6875
0.518518519,0.8
0.45,0.636363636
0.476190476,0.928571429
0.5,0.8125
0.392857143,0.875
0.75,0.875
0.117647059,0.941176471
0.315789474,0.307692308
0.35,0.538461538
0.47826087,0.7
0.517241379,0.733333333
0.64,0.066666667
0.578947368,0.307692308
0.52173913,0.466666667
0.761904762,0.642857143
0.8,0.461538462
0.315789474,0.3
0.518518519,0.913043478
0.5,0.695652174
0.692307692,0.5
0.708333333,0.5
0.571428571,0.6
0.636363636,0.5
0.772727273,0.470588235
0.764705882,0.642857143
0.666666667,0.619047619
0.766666667,0.388888889
0.727272727,0.25
0.677419355,0.444444444
0.714285714,0.136363636
0.80952381,0
0.8,0.05
1,0.153846154
0.964285714,0.058823529
0.722222222,0.133333333
0.818181818,0.125
0.875,0.058823529
0.346153846,1
0.5625,0.727272727
0.68,0.866666667
0.80952381,0.842105263
0.944444444,0.571428571
0.666666667,0.928571429
0.695652174,0.75
0.777777778,0.65
0.695652174,0.857142857
0.620689655,0.866666667
0.875,0.75
0.782608696,0.714285714
0.8,0.384615385
0.846153846,0.35
0.952380952,0.222222222
1,1
0.88,0.466666667
0.76,0.538461538
0.65,0.428571429
0.578947368,0.5
0.526315789,1
0.619047619,0.636363636
0.631578947,0.5
0.56,0.363636364
0.578947368,0.3
0.409090909,0.666666667
0.653846154,0.571428571
0.642857143,0.625
0.6,0.533333333
0.411764706,0.8125
0.5,0.384615385
0.75,0.384615385
0.84,0.3
0.862068966,0.266666667
0.884615385,0.142857143
0.555555556,0
0.818181818,0.25
0.761904762,0.666666667
0.875,0.666666667
0.75,0.7
0.303030303,0.714285714
0.486486486,0.692307692
0.71875,0.384615385
0.806451613,0.529411765
0.775,0.785714286
0.793103448,0.681818182
0.75,0.6875
0.785714286,0.615384615
0.648648649,0.538461538
0.862068966,0.4
0.846153846,0.428571429
0.774193548,0.529411765
0.941176471,0.421052632
1,0.428571429
0.974358974,0.272727273
0.976744186,0
1,0.235294118
1,0.476190476
0.962962963,0.448275862
1,0.428571429
0.346153846,0.9
0.466666667,0.846153846
0.47826087,0.75
0.736842105,0.9
0.705882353,0.866666667
0.388888889,1
0.615384615,1
0.481481481,1
0.541666667,0.642857143
0.482758621,0.933333333
0.791666667,1
0.782608696,0.933333333
0.684210526,0.923076923
0.76,0.75
0.954545455,0.941176471
0.894736842,1
0.791666667,0.933333333
0.8,0.692307692
0.80952381,0.714285714
0.9,0.9375
0.407407407,0.956521739
0.454545455,0.84
0.703703704,0.5
0.739130435,0.625
0.714285714,0.64
0.727272727,0.571428571
0.818181818,0.588235294
0.842105263,0.733333333
0.636363636,0.619047619
0.75862069,0.5
0.771428571,0.4
0.909090909,0.5
0.9,0.260869565
0.952380952,0
0.85,0.05
1,0.346153846
0.928571429,0.117647059
0.944444444,0.333333333
0.954545455,0.25
0.906976744,0.176470588
0.242424242,0.857142857
0.512820513,0.857142857
0.6875,0.428571429
0.580645161,0.647058824
0.594594595,1
0.592592593,0.909090909
0.689655172,0.6875
0.678571429,1
0.552631579,0.923076923
0.740740741,0.533333333
0.576923077,0.666666667
0.655172414,0.947368421
0.705882353,0.789473684
0.827586207,0.285714286
0.527777778,0.272727273
0.930232558,0.666666667
0.933333333,0.705882353
0.826086957,0.428571429
0.846153846,0.275862069
0.652173913,0.090909091
0.321428571,1
0.466666667,0.846153846
0.541666667,0.714285714
0.666666667,0.476190476
0.777777778,0.5
0.611111111,0.866666667
0.76,0.875
0.807692308,0.8
0.739130435,0.928571429
0.580645161,0.857142857
0.833333333,0.75
0.863636364,0.8
0.9,0.692307692
0.846153846,0.619047619
0.954545455,0.578947368
1,0.909090909
1,0.533333333
0.814814815,0.666666667
0.714285714,0.285714286
0.736842105,0.5625